name,input_cov,config_cov,api_cov,op_type_cov,op_num_cov,edge_cov,out_diversity
4.0,0.09437751004016064,0.012702893436838392,0.007889546351084813,0.2916666666666667,0.29330254041570436,0.2916666666666667,7.0
6.0,0.09437751004016064,0.012702893436838392,0.008547008547008548,0.2916666666666667,0.2956120092378753,0.29398148148148145,7.0
8.0,0.10040160642570281,0.012702893436838392,0.009861932938856016,0.3333333333333333,0.2956120092378753,0.29398148148148145,8.0
10.0,0.10040160642570281,0.012702893436838392,0.009861932938856016,0.2916666666666667,0.302540415704388,0.30092592592592593,7.0
12.0,0.09437751004016064,0.012702893436838392,0.008547008547008548,0.2916666666666667,0.2956120092378753,0.29398148148148145,7.0
14.0,0.09437751004016064,0.012702893436838392,0.008547008547008548,0.2916666666666667,0.2956120092378753,0.29398148148148145,7.0
16.0,0.10040160642570281,0.012702893436838392,0.01051939513477975,0.3333333333333333,0.2979214780600462,0.2962962962962963,8.0
18.0,0.08835341365461848,0.012702893436838392,0.007232084155161078,0.25,0.2956120092378753,0.29398148148148145,6.0
20.0,0.09437751004016064,0.012702893436838392,0.007889546351084813,0.2916666666666667,0.29330254041570436,0.2916666666666667,7.0
22.0,0.09437751004016064,0.012702893436838392,0.007889546351084813,0.2916666666666667,0.29330254041570436,0.2916666666666667,7.0
24.0,0.09437751004016064,0.012702893436838392,0.007889546351084813,0.2916666666666667,0.29330254041570436,0.2916666666666667,7.0
26.0,0.09437751004016064,0.012702893436838392,0.009204470742932281,0.2916666666666667,0.2979214780600462,0.2962962962962963,7.0
28.0,0.1465863453815261,0.015525758645024701,0.015779092702169626,0.5416666666666666,0.3394919168591224,0.33796296296296297,13.0
30.0,0.14457831325301204,0.016231474947071278,0.014464168310322156,0.5833333333333334,0.3140877598152425,0.3125,14.0
32.0,0.14859437751004015,0.015525758645024701,0.018408941485864562,0.5416666666666666,0.3233256351039261,0.32175925925925924,13.0
34.0,0.14859437751004015,0.015525758645024701,0.018408941485864562,0.5416666666666666,0.3233256351039261,0.32175925925925924,13.0
36.0,0.1144578313253012,0.014114326040931546,0.013149243918474688,0.375,0.30484988452655887,0.30324074074074076,9.0
38.0,0.11244979919678715,0.014114326040931546,0.011176857330703484,0.375,0.3233256351039261,0.32175925925925924,9.0
40.0,0.1566265060240964,0.015525758645024701,0.01972386587771203,0.5833333333333334,0.325635103926097,0.32407407407407407,14.0
42.0,0.15060240963855423,0.015525758645024701,0.018408941485864562,0.5416666666666666,0.3279445727482679,0.3263888888888889,13.0
44.0,0.11646586345381527,0.014114326040931546,0.012491781722550954,0.375,0.302540415704388,0.30092592592592593,9.0
46.0,0.0963855421686747,0.012702893436838392,0.009204470742932281,0.2916666666666667,0.29330254041570436,0.2916666666666667,7.0
48.0,0.11044176706827309,0.012702893436838392,0.007232084155161078,0.2916666666666667,0.3117782909930716,0.30787037037037035,7.0
50.0,0.11847389558232932,0.012702893436838392,0.009204470742932281,0.2916666666666667,0.3371824480369515,0.3333333333333333,7.0
52.0,0.11847389558232932,0.014114326040931546,0.011834319526627219,0.4583333333333333,0.3071593533487298,0.3055555555555556,11.0
54.0,0.11646586345381527,0.014114326040931546,0.012491781722550954,0.375,0.30484988452655887,0.30324074074074076,9.0
56.0,0.1144578313253012,0.014114326040931546,0.011176857330703484,0.375,0.30484988452655887,0.30324074074074076,9.0
58.0,0.10843373493975904,0.014114326040931546,0.011834319526627219,0.375,0.2979214780600462,0.2962962962962963,9.0
60.0,0.09236947791164658,0.012702893436838392,0.005917159763313609,0.2916666666666667,0.2909930715935335,0.28703703703703703,7.0
62.0,0.10642570281124498,0.014114326040931546,0.011176857330703484,0.375,0.2979214780600462,0.2962962962962963,9.0
64.0,0.09437751004016064,0.012702893436838392,0.007889546351084813,0.2916666666666667,0.2956120092378753,0.29398148148148145,7.0
66.0,0.10240963855421686,0.012702893436838392,0.009861932938856016,0.3333333333333333,0.2956120092378753,0.29398148148148145,8.0
68.0,0.14859437751004015,0.015525758645024701,0.018408941485864562,0.5416666666666666,0.325635103926097,0.32407407407407407,13.0
70.0,0.10040160642570281,0.014114326040931546,0.009861932938856016,0.3333333333333333,0.2979214780600462,0.2962962962962963,8.0
72.0,0.10040160642570281,0.014114326040931546,0.009861932938856016,0.3333333333333333,0.2979214780600462,0.2962962962962963,8.0
74.0,0.14056224899598393,0.015525758645024701,0.015779092702169626,0.5416666666666666,0.3140877598152425,0.3125,13.0
76.0,0.14056224899598393,0.015525758645024701,0.015779092702169626,0.5416666666666666,0.3140877598152425,0.3125,13.0
78.0,0.11244979919678715,0.014114326040931546,0.011834319526627219,0.375,0.30484988452655887,0.30324074074074076,9.0
80.0,0.11244979919678715,0.014114326040931546,0.011834319526627219,0.375,0.30484988452655887,0.30324074074074076,9.0
82.0,0.10040160642570281,0.014114326040931546,0.009861932938856016,0.3333333333333333,0.2956120092378753,0.29398148148148145,8.0
84.0,0.09437751004016064,0.012702893436838392,0.007889546351084813,0.2916666666666667,0.29330254041570436,0.2916666666666667,7.0
86.0,0.14457831325301204,0.015525758645024701,0.01775147928994083,0.5416666666666666,0.3233256351039261,0.32175925925925924,13.0
88.0,0.09437751004016064,0.012702893436838392,0.007889546351084813,0.2916666666666667,0.29330254041570436,0.2916666666666667,7.0
90.0,0.10240963855421686,0.014114326040931546,0.009861932938856016,0.3333333333333333,0.3002309468822171,0.2986111111111111,8.0
92.0,0.12248995983935743,0.014114326040931546,0.013149243918474688,0.375,0.3117782909930716,0.3101851851851852,9.0
94.0,0.1144578313253012,0.014114326040931546,0.013149243918474688,0.375,0.30484988452655887,0.30324074074074076,9.0
96.0,0.1686746987951807,0.015525758645024701,0.0210387902695595,0.625,0.3325635103926097,0.33101851851851855,15.0
98.0,0.11044176706827309,0.012702893436838392,0.007889546351084813,0.2916666666666667,0.3140877598152425,0.3101851851851852,7.0
