name,input_cov,config_cov,api_cov,op_type_cov,op_num_cov,edge_cov,out_diversity
2.0,0.08634538152610442,0.0056457304163726185,0.009204470742932281,0.2916666666666667,0.11316397228637413,0.1087962962962963,7.0
4.0,0.09839357429718876,0.007057163020465773,0.011834319526627219,0.3333333333333333,0.11778290993071594,0.11342592592592593,8.0
6.0,0.10240963855421686,0.007057163020465773,0.011834319526627219,0.3333333333333333,0.13163972286374134,0.12731481481481483,8.0
8.0,0.10441767068273092,0.007057163020465773,0.011834319526627219,0.3333333333333333,0.13625866050808313,0.13194444444444445,8.0
10.0,0.10642570281124498,0.007057163020465773,0.013149243918474688,0.3333333333333333,0.13856812933025403,0.13425925925925927,8.0
12.0,0.10642570281124498,0.007057163020465773,0.013806706114398421,0.3333333333333333,0.14318706697459585,0.1388888888888889,8.0
14.0,0.13453815261044177,0.007057163020465773,0.01775147928994083,0.5,0.15935334872979215,0.1550925925925926,12.0
16.0,0.13654618473895583,0.007057163020465773,0.01775147928994083,0.5,0.16166281755196305,0.1574074074074074,12.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.13654618473895583,0.007057163020465773,0.0190664036817883,0.5,0.17090069284064666,0.16666666666666666,12.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.142570281124498,0.012702893436838392,0.020381328073635765,0.5416666666666666,0.18475750577367206,0.18055555555555555,13.0
26.0,0.15261044176706828,0.012702893436838392,0.021696252465483234,0.5416666666666666,0.19630484988452657,0.19212962962962962,13.0
28.0,0.15261044176706828,0.012702893436838392,0.022353714661406968,0.5416666666666666,0.19399538106235567,0.18981481481481483,13.0
30.0,0.15261044176706828,0.012702893436838392,0.022353714661406968,0.5416666666666666,0.19630484988452657,0.19212962962962962,13.0
32.0,0.1646586345381526,0.012702893436838392,0.024326101249178174,0.625,0.19861431870669746,0.19444444444444445,15.0
34.0,0.18875502008032127,0.012702893436838392,0.02695595003287311,0.6666666666666666,0.21016166281755197,0.20601851851851852,16.0
36.0,0.18875502008032127,0.019054340155257588,0.027613412228796843,0.7083333333333334,0.21247113163972287,0.20833333333333334,17.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.20481927710843373,0.019054340155257588,0.030900723208415515,0.7083333333333334,0.23556581986143188,0.2337962962962963,17.0
42.0,0.20682730923694778,0.019054340155257588,0.032215647600262985,0.7083333333333334,0.2517321016166282,0.25,17.0
44.0,0.20682730923694778,0.019054340155257588,0.03287310979618672,0.7083333333333334,0.2632794457274827,0.2638888888888889,17.0
46.0,0.20682730923694778,0.019054340155257588,0.032215647600262985,0.7083333333333334,0.2702078521939954,0.2708333333333333,17.0
48.0,0.21285140562248997,0.019054340155257588,0.03418803418803419,0.7083333333333334,0.2863741339491917,0.28935185185185186,17.0
50.0,0.23293172690763053,0.021877205363443897,0.03616042077580539,0.75,0.3071593533487298,0.3101851851851852,18.0
52.0,0.23694779116465864,0.021877205363443897,0.03550295857988166,0.75,0.30484988452655887,0.30787037037037035,18.0
54.0,0.2429718875502008,0.021877205363443897,0.03550295857988166,0.75,0.3117782909930716,0.3148148148148148,18.0
56.0,0.2429718875502008,0.021877205363443897,0.03550295857988166,0.75,0.3187066974595843,0.32175925925925924,18.0
58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.25502008032128515,0.021877205363443897,0.03616042077580539,0.75,0.34872979214780603,0.35185185185185186,18.0
62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.25903614457831325,0.021877205363443897,0.03616042077580539,0.75,0.34872979214780603,0.35185185185185186,18.0
66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,0.2891566265060241,0.021877205363443897,0.040105193951347796,0.8333333333333334,0.4226327944572748,0.42592592592592593,20.0
80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.0,0.2931726907630522,0.021877205363443897,0.04076265614727153,0.8333333333333334,0.45265588914549654,0.45601851851851855,20.0
84.0,0.2931726907630522,0.021877205363443897,0.03944773175542406,0.8333333333333334,0.47344110854503463,0.47685185185185186,20.0
86.0,0.2791164658634538,0.021877205363443897,0.03879026955950033,0.75,0.4503464203233256,0.45601851851851855,18.0
88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,0.2971887550200803,0.021877205363443897,0.04076265614727153,0.8333333333333334,0.44803695150115475,0.4537037037037037,20.0
92.0,0.2991967871485944,0.021877205363443897,0.042077580539119,0.8333333333333334,0.4618937644341801,0.4675925925925926,20.0
94.0,0.30120481927710846,0.021877205363443897,0.04076265614727153,0.875,0.4665127020785219,0.4722222222222222,21.0
96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,0.30522088353413657,0.021877205363443897,0.042735042735042736,0.875,0.49191685912240185,0.4976851851851852,21.0
